1,shrimp,almonds,avocado,vegetables mix,,,,,,,,,
1,burgers,meatballs,eggs,,,,,,,,,,
1,chutney,,,,,,,,,,,,
1,turkey,avocado,,,,,,,,,,,
1,mineral water,milk,energy bar,whole wheat rice,,,,,,,,,
1,low fat yogurt,,,,,,,,,,,,
2,whole wheat pasta,french fries,,,,,,,,,,,
2,soup,light cream,shallot,,,,,,,,,,
2,frozen vegetables,spaghetti,green tea,,,,,,,,,,
2,french fries,,,,,,,,,,,,
2,eggs,pet food,,,,,,,,,,,
2,cookies,,,,,,,,,,,,
3,turkey,burgers,mineral water,eggs,,,,,,,,,
3,spaghetti,champagne,cookies,,,,,,,,,,
3,mineral water,salmon,,,,,,,,,,,
3,mineral water,,,,,,,,,,,,
3,shrimp,chocolate,chicken,honey,,,,,,,,,
3,turkey,eggs,,,,,,,,,,,
3,turkey,fresh tuna,tomatoes,spaghetti,,,,,,,,,
4,meatballs,milk,honey,french fries,,,,,,,,,
4,red wine,shrimp,pasta,pepper,,,,,,,,,
4,rice,sparkling water,,,,,,,,,,,
4,spaghetti,mineral water,ham,body spray,,,,,,,,,
4,burgers,grated cheese,shrimp,pasta,,,,,,,,,
4,eggs,,,,,,,,,,,,
5,parmesan cheese,spaghetti,soup,avocado,,,,,,,,,
5,ground beef,spaghetti,mineral water,milk,,,,,,,,,
5,sparkling water,,,,,,,,,,,,
5,mineral water,eggs,chicken,chocolate,,,,,,,,,
6,spaghetti,chocolate,brownies,white wine,,,,,,,,,
6,fresh tuna,mineral water,eggs,,,,,,,,,,
6,spaghetti,muffins,,,,,,,,,,,
6,spaghetti,chocolate,,,,,,,,,,,
6,french fries,escalope,champagne,,,,,,,,,,
6,tomato sauce,light mayo,,,,,,,,,,,
6,turkey,fresh tuna,frozen vegetables,tomatoes,,,,,,,,,
6,eggs,cookies,,,,,,,,,,,
6,soup,chicken,gums,soda,,,,,,,,,
6,turkey,frozen vegetables,mineral water,cider,,,,,,,,,
6,spaghetti,,,,,,,,,,,,
6,clothes accessories,,,,,,,,,,,,
7,energy drink,,,,,,,,,,,,
7,soup,bug spray,shallot,protein bar,,,,,,,,,
7,turkey,eggs,,,,,,,,,,,
7,french fries,,,,,,,,,,,,
7,chocolate,milk,,,,,,,,,,,
8,herb & pepper,whole wheat pasta,ground beef,mineral water,,,,,,,,,
8,cookies,,,,,,,,,,,,
8,shrimp,pasta,,,,,,,,,,,
8,grated cheese,herb & pepper,tomatoes,tomato sauce,,,,,,,,,
8,burgers,escalope,shallot,,,,,,,,,,
8,eggs,strawberries,,,,,,,,,,,
8,grated cheese,ground beef,spaghetti,mineral water,,,,,,,,,
8,mint,,,,,,,,,,,,
9,eggs,cake,french fries,,,,,,,,,,
9,burgers,spaghetti,milk,french fries,,,,,,,,,
9,mineral water,energy bar,butter,french fries,,,,,,,,,
9,burgers,grated cheese,herb & pepper,mineral water,,,,,,,,,
9,energy bar,,,,,,,,,,,,
9,champagne,,,,,,,,,,,,
9,burgers,almonds,eggs,french fries,,,,,,,,,
9,ham,soup,escalope,body spray,,,,,,,,,
9,turkey,ham,frozen vegetables,pepper,,,,,,,,,
9,muffins,eggs,cookies,,,,,,,,,,
9,cookies,,,,,,,,,,,,
9,frozen vegetables,whole wheat pasta,ground beef,spaghetti,,,,,,,,,
9,mineral water,barbecue sauce,chocolate,,,,,,,,,,
10,burgers,herb & pepper,energy bar,almonds,,,,,,,,,
10,turkey,burgers,ground beef,chocolate,,,,,,,,,
11,ham,spaghetti,chocolate,eggs,,,,,,,,,
11,ground beef,energy bar,pet food,carrots,,,,,,,,,
11,ground beef,tomato sauce,spaghetti,mineral water,,,,,,,,,
11,shrimp,pasta,mineral water,eggs,,,,,,,,,
11,burgers,oil,tomato juice,fresh bread,,,,,,,,,
11,french wine,eggs,chocolate,low fat yogurt,,,,,,,,,
12,chicken,eggs,french fries,pancakes,,,,,,,,,
12,turkey,herb & pepper,salmon,white wine,,,,,,,,,
12,muffins,,,,,,,,,,,,
12,pasta,,,,,,,,,,,,
12,tomatoes,spaghetti,frozen smoothie,,,,,,,,,,
12,ground beef,spaghetti,milk,,,,,,,,,,
12,french fries,,,,,,,,,,,,
12,chocolate,milk,,,,,,,,,,,
12,burgers,shrimp,pasta,frozen vegetables,,,,,,,,,
12,carrots,green tea,,,,,,,,,,,
12,chocolate,,,,,,,,,,,,
13,turkey,burgers,chocolate,olive oil,,,,,,,,,
13,frozen vegetables,tomatoes,pepper,spaghetti,,,,,,,,,
13,cookies,,,,,,,,,,,,
13,ground beef,,,,,,,,,,,,
13,turkey,eggs,chocolate,frozen smoothie,,,,,,,,,
13,frozen vegetables,cooking oil,mashed potato,,,,,,,,,,
13,frozen vegetables,ground beef,tomato sauce,mineral water,,,,,,,,,
13,red wine,spaghetti,mineral water,soup,,,,,,,,,
13,chocolate,tomatoes,spaghetti,mineral water,,,,,,,,,
14,chocolate,shrimp,pasta,frozen vegetables,,,,,,,,,
14,turkey,shrimp,pasta,pepper,,,,,,,,,
14,cookies,,,,,,,,,,,,
14,turkey,tomatoes,cake,,,,,,,,,,
14,burgers,mineral water,milk,eggs,,,,,,,,,
14,mineral water,vegetables mix,cake,frozen smoothie,,,,,,,,,
15,cookies,,,,,,,,,,,,
15,shrimp,pasta,chicken,chocolate bread,,,,,,,,,
15,shallot,,,,,,,,,,,,
15,shrimp,pasta,spaghetti,eggs,,,,,,,,,
15,burgers,,,,,,,,,,,,
15,red wine,ground beef,spaghetti,mineral water,,,,,,,,,
15,burgers,grated cheese,spaghetti,avocado,,,,,,,,,
15,herb & pepper,whole wheat pasta,ground beef,mineral water,,,,,,,,,
16,shrimp,pasta,yams,milk,,,,,,,,,
16,butter,green tea,,,,,,,,,,,
17,light mayo,,,,,,,,,,,,
17,low fat yogurt,,,,,,,,,,,,
17,herb & pepper,shrimp,pasta,spaghetti,,,,,,,,,
17,burgers,eggs,,,,,,,,,,,
17,chocolate,mineral water,corn,cottage cheese,,,,,,,,,
17,muffins,,,,,,,,,,,,
18,ham,french wine,escalope,,,,,,,,,,
18,spaghetti,milk,whole wheat rice,mint green tea,,,,,,,,,
18,chocolate,body spray,,,,,,,,,,,
18,frozen vegetables,french fries,hot dogs,,,,,,,,,,
18,frozen vegetables,mineral water,,,,,,,,,,,
18,chocolate,,,,,,,,,,,,
19,french fries,,,,,,,,,,,,
19,chocolate,,,,,,,,,,,,
19,burgers,ham,red wine,,,,,,,,,,
19,shrimp,pasta,tomatoes,energy bar,,,,,,,,,
19,green tea,,,,,,,,,,,,
19,low fat yogurt,,,,,,,,,,,,
19,turkey,spaghetti,mineral water,soup,,,,,,,,,
19,turkey,eggs,,,,,,,,,,,
19,bug spray,hot dogs,,,,,,,,,,,
20,oil,,,,,,,,,,,,
20,soup,energy bar,chicken,eggs,,,,,,,,,
21,cookies,,,,,,,,,,,,
21,olive oil,cookies,mushroom cream sauce,,,,,,,,,,
21,ground beef,pancakes,cooking oil,gluten free bar,,,,,,,,,
21,mineral water,french fries,,,,,,,,,,,
21,herb & pepper,,,,,,,,,,,,
21,salmon,,,,,,,,,,,,
21,eggs,escalope,,,,,,,,,,,
21,mineral water,tomato juice,,,,,,,,,,,
21,mineral water,,,,,,,,,,,,
21,shrimp,mineral water,soup,black tea,,,,,,,,,
21,cake,frozen smoothie,,,,,,,,,,,
21,turkey,burgers,grated cheese,tomatoes,,,,,,,,,
21,frozen vegetables,ground beef,mineral water,olive oil,,,,,,,,,
21,turkey,burgers,ground beef,milk,,,,,,,,,
22,whole wheat pasta,ground beef,spaghetti,yams,,,,,,,,,
22,eggs,whole wheat rice,cake,green tea,,,,,,,,,
22,ground beef,yams,soup,avocado,,,,,,,,,
22,milk,,,,,,,,,,,,
22,spaghetti,chocolate,,,,,,,,,,,
22,whole wheat pasta,honey,,,,,,,,,,,
22,whole wheat pasta,green tea,,,,,,,,,,,
22,spaghetti,meatballs,vegetables mix,chocolate,,,,,,,,,
22,eggs,low fat yogurt,,,,,,,,,,,
22,fresh tuna,shrimp,pasta,mineral water,,,,,,,,,
22,mineral water,green grapes,hot dogs,fresh bread,,,,,,,,,
22,frozen vegetables,meatballs,eggs,chocolate,,,,,,,,,
22,chocolate,,,,,,,,,,,,
22,meatballs,milk,,,,,,,,,,,fresh bread
22,low fat yogurt,,,,,,,,,,,,
22,green tea,,,,,,,,,,,,
23,escalope,pasta,,,,,,,,,,,
23,pepper,chocolate,olive oil,french wine,,,,,,,,,
23,red wine,french wine,vegetables mix,rice,,,,,,,,,
24,burgers,dessert wine,spaghetti,chicken,,,,,,,,,
24,french wine,cake,fresh bread,,,,,,,,,,
24,burgers,frozen vegetables,flax seed,eggs,,,,,,,,,
25,grated cheese,shrimp,pasta,tomatoes,,,,,,,,,
25,herb & pepper,whole wheat pasta,olive oil,pancakes,,,,,,,,,
25,spaghetti,antioxydant juice,,,,,,,,,,,
25,chocolate,milk,almonds,eggs,,,,,,,,,
25,french fries,strawberries,,,,,,,,,,,
25,mineral water,,,,,,,,,,,,
26,eggs,,,,,,,,,,,,
26,escalope,,,,,,,,,,,,
26,cake,,,,,,,,,,,,
26,whole wheat pasta,antioxydant juice,body spray,green tea,,,,,,,,,
26,mineral water,oil,frozen smoothie,,,,,,,,,,
26,french fries,champagne,,,,,,,,,,,
26,chocolate,french fries,,,,,,,,,,,
27,herb & pepper,ground beef,spaghetti,eggs,,,,,,,,,
27,grated cheese,muffins,tomato juice,mayonnaise,,,,,,,,,
27,whole wheat pasta,yams,mineral water,muffins,,,,,,,,,
27,burgers,spaghetti,soup,milk,,,,,,,,,
28,chocolate,champagne,magazines,,,,,,,,,,
28,frozen vegetables,spaghetti,yams,mineral water,,,,,,,,,
28,tomato sauce,chocolate,,,,,,,,,,,
28,milk,eggs,,,,,,,,,,,
29,pet food,,,,,,,,,,,,
29,yogurt cake,,,,,,,,,,,,
29,green tea,,,,,,,,,,,,
29,escalope,pasta,,,,,,,,,,,
29,herb & pepper,ground beef,,,,,,,,,,,
29,mineral water,honey,brownies,,,,,,,,,,
29,turkey,eggs,cake,energy drink,,,,,,,,,
29,turkey,burgers,dessert wine,ground beef,,,,,,,,,
29,spaghetti,mineral water,chicken,,,,,,,,,,
29,turkey,ground beef,carrots,french fries,,,,,,,,,
30,fresh tuna,barbecue sauce,eggplant,,,,,,,,,,
30,energy drink,,,,,,,,,,,,
30,whole wheat rice,french fries,hot dogs,green tea,,,,,,,,,
30,mineral water,chicken,green tea,,,,,,,,,,
30,eggs,cake,mushroom cream sauce,,,,,,,,,,
30,escalope,,,,,,,,,,,,
30,antioxydant juice,escalope,,,,,,,,,,,
30,shrimp,spaghetti,french fries,,,,,,,,,,
